# Wavelength (nm) 	SR (A W-1)
2.900000000000000000e+02 0.000000000000000000e+00
2.954399999999999977e+02 6.332000000000000128e-02
3.241899999999999977e+02 9.822000000000000175e-02
3.489100000000000250e+02 1.113299999999999984e-01
3.817099999999999795e+02 1.839999999999999969e-01
4.294700000000000273e+02 2.733900000000000219e-01
4.593799999999999955e+02 3.279000000000000248e-01
4.898700000000000045e+02 3.693400000000000016e-01
5.203500000000000227e+02 4.020599999999999730e-01
5.496699999999999591e+02 4.304299999999999793e-01
5.766900000000000546e+02 4.479000000000000203e-01
6.106200000000000045e+02 4.791699999999999848e-01
6.491399999999999864e+02 5.060999999999999943e-01
6.767400000000000091e+02 5.315600000000000325e-01
7.233099999999999454e+02 5.672099999999999920e-01
7.583799999999999955e+02 5.897700000000000164e-01
7.969099999999999682e+02 6.174199999999999688e-01
8.567000000000000455e+02 6.574499999999999789e-01
8.779700000000000273e+02 6.640200000000000546e-01
9.032699999999999818e+02 6.909300000000000441e-01
9.210900000000000318e+02 6.967600000000000460e-01
9.492500000000000000e+02 6.982599999999999918e-01
9.797100000000000364e+02 6.903099999999999792e-01
9.986599999999999682e+02 6.721799999999999997e-01
1.018759999999999991e+03 6.446199999999999708e-01
1.034829999999999927e+03 6.003399999999999848e-01
1.046289999999999964e+03 5.509800000000000253e-01
1.059480000000000018e+03 5.001600000000000490e-01
1.080109999999999900e+03 3.919799999999999951e-01
1.200000000000000000e+03 0.000000000000000000e+00
